component_id,id,name,description,tags,file,line
81e416a3-7250-47d4-9c24-3b6f1c6fbcdc,213414513,SENSORS,Sensors probe,px4;module;sensors,sensors/sensors.cpp,242
81e416a3-7250-47d4-9c24-3b6f1c6fbcdc,724167641,VEHICLE_IMU,Vehicle IMU probe,px4;library;vehicle-imu,sensors/vehicle_imu/VehicleIMU.cpp,80
